"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000192368","Conta Investimento - Fundo de Investimento","PM BSF 19236-8 SIGTV250240920240002 GND3 APL                ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000192368","Conta Corrente","PM BSF 19236-8 SIGTV250240920240002 GND3                    ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000191477","Conta Corrente","Convênio 54/2018 Aquisicao Equipamentos Corrente            ","237","BCO BRADESCO S.A.","001053","37293.72","4822.63","0","42116.35","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000188700","Conta Corrente","CONVÊNIO TRANSPORTE ESCOLAR CORRENTE                        ","237","BCO BRADESCO S.A.","001053","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000186414","Conta Investimento - Fundo de Investimento","PM BSF 18641-4 SIGTV250240920240001 GND3 APL                ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000186414","Conta Corrente","PM BSF 18641-4 SIGTV250240920240001 GND3                    ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000186376","Conta Corrente","PM BSF PROGRAMA CAST. 18637-6                               ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000186228","Conta Investimento - Fundo de Investimento","PM BSF 18622-8 E 656 24 SEDAM APL                           ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000186228","Conta Corrente","PM BSF 18622-8 E 656 24 SEDAM                               ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000186198","Conta Investimento - Fundo de Investimento","PM BSF - 18619-8 E 302 24 SEDAM APL                         ","001","BCO DO BRASIL S.A.","010324","14700.17","0","0","14700.17","08924037000118","Baixar","052026"
