"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000459828","Conta Corrente","PAULO GUSTAVO - OUTRAS - CC                                 ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000045981X","Conta Investimento - Fundo de Investimento","PAULO GUSTAVO - AUDIO VISUAL - INV                          ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000045981X","Conta Corrente","PAULO GUSTAVO - AUDIO VISUAL - CC                           ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000455482","Conta Investimento - Fundo de Investimento","IGD FEAS - INV                                              ","001","BCO DO BRASIL S.A.","00944X","29213.84","0","0","29213.84","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000455482","Conta Corrente","IGD FEAS - CC                                               ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000454591","Conta Investimento - Fundo de Investimento","PROCAD - SUAS - INV                                         ","001","BCO DO BRASIL S.A.","00944X","26139.69","0","0","26139.69","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000454591","Conta Corrente","PROCAD - SUAS - CC                                          ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000442208","Conta Investimento - Fundo de Investimento","SIGTV GND4 - INV                                            ","001","BCO DO BRASIL S.A.","00944X","4.25","0","0","4.25","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000442208","Conta Corrente","SIGTV GND4 - CC                                             ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000441856","Conta Investimento - Fundo de Investimento","SIGTV GND3 - INV                                            ","001","BCO DO BRASIL S.A.","00944X","693.41","0","0","693.41","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000441856","Conta Corrente","SIGTV GND3 - CC                                             ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000437263","Conta Investimento - Fundo de Investimento","CV 1392022 CRECHE - INV                                     ","001","BCO DO BRASIL S.A.","00944X","489201.44","0","0","489201.44","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000437263","Conta Corrente","CV 1392022 CRECHE - CC                                      ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000435716","Conta Investimento - Fundo de Investimento","CURRAL DE CIMA IGD-PAB INV                                  ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000435716","Conta Corrente","CURRAL DE CIMA IGD-PAB  CC                                  ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000434906","Conta Investimento - Fundo de Investimento","CV 3932021 - ESCOLA - INV                                   ","001","BCO DO BRASIL S.A.","00944X","537558.21","0","0","537558.21","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000434906","Conta Corrente","CV 3932021 - ESCOLA - CC                                    ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000424978","Conta Investimento - Fundo de Investimento","LEI A BLANC - INV                                           ","001","BCO DO BRASIL S.A.","00944X","0.35","0","0","0.35","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000424978","Conta Corrente","LEI A BLANC - CC                                            ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000398306","Conta Investimento - Fundo de Investimento","CIMCOVIDEPI APL                                             ","001","BCO DO BRASIL S.A.","00944X","10.24","0","0","10.24","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000398306","Conta Corrente","CIMCOVIDEPI - CC                                            ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000039825X","Conta Investimento - Fundo de Investimento","CONVID ACO APL                                              ","001","BCO DO BRASIL S.A.","00944X","13.52","0","0","13.52","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000039825X","Conta Corrente","CONVID ACO CC                                               ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000395072","Conta Investimento - Fundo de Investimento","CONV EST 482/2019                                           ","001","BCO DO BRASIL S.A.","00944X","31036.56","0","0","31036.56","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000395072","Conta Corrente","CONV EST 482/2019                                           ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000392952","Conta Investimento - Fundo de Investimento","BE FEAS - APL                                               ","001","BCO DO BRASIL S.A.","00944X","8683.02","0","0","8683.02","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000392952","Conta Corrente","BE FEAS - CC                                                ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000392855","Conta Investimento - Fundo de Investimento","PSB FEAS - APL                                              ","001","BCO DO BRASIL S.A.","00944X","32995.57","0","0","32995.57","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000392855","Conta Corrente","PSB FEAS - CC                                               ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000038478X","Conta Investimento - Fundo de Investimento","IPI ESTADUAL APL                                            ","001","BCO DO BRASIL S.A.","00944X","1560.16","0","0","1560.16","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000038478X","Conta Corrente","IPI ESTADUAL CC                                             ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
